source_split,image_path,mask_path,mask_exists,height,width,channels,defect_pixels,class,dataset_split
train,data/raw/kolektor-sdd2/train/10000.png,data/raw/kolektor-sdd2/train/10000_GT.png,True,645,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10001.png,data/raw/kolektor-sdd2/train/10001_GT.png,True,633,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10002.png,data/raw/kolektor-sdd2/train/10002_GT.png,True,647,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10003.png,data/raw/kolektor-sdd2/train/10003_GT.png,True,634,229,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10004.png,data/raw/kolektor-sdd2/train/10004_GT.png,True,632,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10005.png,data/raw/kolektor-sdd2/train/10005_GT.png,True,628,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10006.png,data/raw/kolektor-sdd2/train/10006_GT.png,True,642,233,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10007.png,data/raw/kolektor-sdd2/train/10007_GT.png,True,640,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10008.png,data/raw/kolektor-sdd2/train/10008_GT.png,True,634,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10009.png,data/raw/kolektor-sdd2/train/10009_GT.png,True,643,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10010.png,data/raw/kolektor-sdd2/train/10010_GT.png,True,635,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10011.png,data/raw/kolektor-sdd2/train/10011_GT.png,True,638,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10012.png,data/raw/kolektor-sdd2/train/10012_GT.png,True,639,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10013.png,data/raw/kolektor-sdd2/train/10013_GT.png,True,642,229,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10014.png,data/raw/kolektor-sdd2/train/10014_GT.png,True,646,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10015.png,data/raw/kolektor-sdd2/train/10015_GT.png,True,636,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10016.png,data/raw/kolektor-sdd2/train/10016_GT.png,True,634,229,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10017.png,data/raw/kolektor-sdd2/train/10017_GT.png,True,645,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10018.png,data/raw/kolektor-sdd2/train/10018_GT.png,True,643,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10019.png,data/raw/kolektor-sdd2/train/10019_GT.png,True,626,233,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10020.png,data/raw/kolektor-sdd2/train/10020_GT.png,True,642,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10021.png,data/raw/kolektor-sdd2/train/10021_GT.png,True,649,228,3,3346,defect,train
train,data/raw/kolektor-sdd2/train/10022.png,data/raw/kolektor-sdd2/train/10022_GT.png,True,637,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10023.png,data/raw/kolektor-sdd2/train/10023_GT.png,True,652,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10024.png,data/raw/kolektor-sdd2/train/10024_GT.png,True,628,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10025.png,data/raw/kolektor-sdd2/train/10025_GT.png,True,636,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10026.png,data/raw/kolektor-sdd2/train/10026_GT.png,True,643,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10027.png,data/raw/kolektor-sdd2/train/10027_GT.png,True,637,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10028.png,data/raw/kolektor-sdd2/train/10028_GT.png,True,643,229,3,989,defect,train
train,data/raw/kolektor-sdd2/train/10029.png,data/raw/kolektor-sdd2/train/10029_GT.png,True,629,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10030.png,data/raw/kolektor-sdd2/train/10030_GT.png,True,637,232,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10031.png,data/raw/kolektor-sdd2/train/10031_GT.png,True,647,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10032.png,data/raw/kolektor-sdd2/train/10032_GT.png,True,646,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10033.png,data/raw/kolektor-sdd2/train/10033_GT.png,True,633,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10034.png,data/raw/kolektor-sdd2/train/10034_GT.png,True,626,229,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10035.png,data/raw/kolektor-sdd2/train/10035_GT.png,True,635,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10036.png,data/raw/kolektor-sdd2/train/10036_GT.png,True,642,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10037.png,data/raw/kolektor-sdd2/train/10037_GT.png,True,637,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10038.png,data/raw/kolektor-sdd2/train/10038_GT.png,True,639,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10039.png,data/raw/kolektor-sdd2/train/10039_GT.png,True,638,231,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10040.png,data/raw/kolektor-sdd2/train/10040_GT.png,True,643,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10041.png,data/raw/kolektor-sdd2/train/10041_GT.png,True,646,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10042.png,data/raw/kolektor-sdd2/train/10042_GT.png,True,632,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10043.png,data/raw/kolektor-sdd2/train/10043_GT.png,True,647,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10044.png,data/raw/kolektor-sdd2/train/10044_GT.png,True,626,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10045.png,data/raw/kolektor-sdd2/train/10045_GT.png,True,638,211,3,23,defect,train
train,data/raw/kolektor-sdd2/train/10046.png,data/raw/kolektor-sdd2/train/10046_GT.png,True,635,205,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10047.png,data/raw/kolektor-sdd2/train/10047_GT.png,True,637,231,3,19713,defect,train
train,data/raw/kolektor-sdd2/train/10048.png,data/raw/kolektor-sdd2/train/10048_GT.png,True,630,214,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10049.png,data/raw/kolektor-sdd2/train/10049_GT.png,True,635,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10050.png,data/raw/kolektor-sdd2/train/10050_GT.png,True,647,230,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10051.png,data/raw/kolektor-sdd2/train/10051_GT.png,True,629,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10052.png,data/raw/kolektor-sdd2/train/10052_GT.png,True,629,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10053.png,data/raw/kolektor-sdd2/train/10053_GT.png,True,642,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10054.png,data/raw/kolektor-sdd2/train/10054_GT.png,True,638,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10055.png,data/raw/kolektor-sdd2/train/10055_GT.png,True,640,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10056.png,data/raw/kolektor-sdd2/train/10056_GT.png,True,609,230,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10057.png,data/raw/kolektor-sdd2/train/10057_GT.png,True,640,230,3,1713,defect,train
train,data/raw/kolektor-sdd2/train/10058.png,data/raw/kolektor-sdd2/train/10058_GT.png,True,657,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10059.png,data/raw/kolektor-sdd2/train/10059_GT.png,True,643,229,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10060.png,data/raw/kolektor-sdd2/train/10060_GT.png,True,637,228,3,1349,defect,train
train,data/raw/kolektor-sdd2/train/10061.png,data/raw/kolektor-sdd2/train/10061_GT.png,True,637,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10062.png,data/raw/kolektor-sdd2/train/10062_GT.png,True,639,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10063.png,data/raw/kolektor-sdd2/train/10063_GT.png,True,638,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10064.png,data/raw/kolektor-sdd2/train/10064_GT.png,True,632,230,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10065.png,data/raw/kolektor-sdd2/train/10065_GT.png,True,641,229,3,2527,defect,validation
train,data/raw/kolektor-sdd2/train/10066.png,data/raw/kolektor-sdd2/train/10066_GT.png,True,641,231,3,0,non-defect,validation
train,data/raw/kolektor-sdd2/train/10067.png,data/raw/kolektor-sdd2/train/10067_GT.png,True,642,227,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10068.png,data/raw/kolektor-sdd2/train/10068_GT.png,True,636,227,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10069.png,data/raw/kolektor-sdd2/train/10069_GT.png,True,635,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10070.png,data/raw/kolektor-sdd2/train/10070_GT.png,True,636,232,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10071.png,data/raw/kolektor-sdd2/train/10071_GT.png,True,625,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10072.png,data/raw/kolektor-sdd2/train/10072_GT.png,True,645,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10073.png,data/raw/kolektor-sdd2/train/10073_GT.png,True,629,228,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10074.png,data/raw/kolektor-sdd2/train/10074_GT.png,True,642,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10075.png,data/raw/kolektor-sdd2/train/10075_GT.png,True,630,231,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10076.png,data/raw/kolektor-sdd2/train/10076_GT.png,True,632,229,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10077.png,data/raw/kolektor-sdd2/train/10077_GT.png,True,638,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10078.png,data/raw/kolektor-sdd2/train/10078_GT.png,True,632,230,3,0,non-defect,train
train,data/raw/kolektor-sdd2/train/10079.png,data/raw/kolektor-sdd2/train/10079_GT.png,True,638,229,3,0,non-defect,train
